,filename_left,filename_right
9959789,ATL04_20210624130343_00141201_006_01.h5,MOD06_L2.A2021171.0425.061.2021268231151.hdf
9960412,ATL04_20210618140321_13101101_006_01.h5,MOD06_L2.A2021174.0635.061.2021268233403.hdf
9961709,ATL04_20210619151159_13261101_006_01.h5,MOD06_L2.A2021174.0815.061.2021268233448.hdf
9962091,ATL04_20210618153738_13111101_006_01.h5,MOD06_L2.A2021175.0400.061.2021268233756.hdf
9962142,ATL04_20210622152919_13721101_006_01.h5,MOD06_L2.A2021170.0840.061.2021268231332.hdf
9963614,ATL04_20210621172915_13581101_006_01.h5,MOD06_L2.A2021170.0340.061.2021268230104.hdf
9965187,ATL04_20210622183753_13741101_006_01.h5,MOD06_L2.A2021173.1230.061.2021268233147.hdf
9965443,ATL04_20210621190332_13591101_006_01.h5,MOD06_L2.A2021169.1255.061.2021268230427.hdf
9986542,ATL04_20210618074611_13061101_006_01.h5,MOD06_L2.A2021172.0035.061.2021268232232.hdf
9999070,ATL04_20210622073751_13671101_006_01.h5,MOD06_L2.A2021174.1625.061.2021268233001.hdf
10001550,ATL04_20210619072032_13211101_006_01.h5,MOD06_L2.A2021174.1945.061.2021268232723.hdf
10002543,ATL04_20210620065452_13361101_006_01.h5,MOD06_L2.A2021174.0000.061.2021268232954.hdf
10041718,ATL04_20210622060334_13661101_006_01.h5,MOD06_L2.A2021175.0040.061.2021268233229.hdf
10042066,ATL04_20210621062913_13511101_006_01.h5,MOD06_L2.A2021173.0730.061.2021268232339.hdf
10045058,ATL04_20210618184613_13131101_006_01.h5,MOD06_L2.A2021175.0855.061.2021268233827.hdf
13223894,ATL04_20210917190902_13161201_006_02.h5,MOD06_L2.A2021263.1640.061.2021264023706.hdf
13224911,ATL04_20210918074321_13241201_006_02.h5,MOD06_L2.A2021264.1710.061.2021265015907.hdf
13226228,ATL04_20210923084340_00141301_006_02.h5,MOD06_L2.A2021260.0735.061.2021260195139.hdf
13226413,ATL04_20210918091738_13251201_006_02.h5,MOD06_L2.A2021264.1705.061.2021265014801.hdf
13227013,ATL04_20210917094317_13101201_006_02.h5,MOD06_L2.A2021261.0815.061.2021261194903.hdf
13228444,ATL04_20210922104336_13871201_006_02.h5,MOD06_L2.A2021263.0945.061.2021264013604.hdf
13228555,ATL04_20210917111735_13111201_006_02.h5,MOD06_L2.A2021261.0955.061.2021261194843.hdf
13228639,ATL04_20210920113454_13571201_006_02.h5,MOD06_L2.A2021264.1025.061.2021264193452.hdf
13228797,ATL04_20210918122613_13271201_006_02.h5,MOD06_L2.A2021263.1125.061.2021264013505.hdf
13228954,ATL04_20210917125152_13121201_006_02.h5,MOD06_L2.A2021263.1620.061.2021264021941.hdf
13229038,ATL04_20210920130912_13581201_006_02.h5,MOD06_L2.A2021262.1220.061.2021263015341.hdf
13229284,ATL04_20210919133451_13431201_006_02.h5,MOD06_L2.A2021263.1300.061.2021264022419.hdf
13229406,ATL04_20210922135211_00021301_006_02.h5,MOD06_L2.A2021262.1535.061.2021263015207.hdf
13229740,ATL04_20210920144329_13591201_006_02.h5,MOD06_L2.A2021263.1440.061.2021264022433.hdf
13230541,ATL04_20210923150049_00181301_006_02.h5,MOD06_L2.A2021264.1525.061.2021265014945.hdf
13231059,ATL04_20210918232615_13341201_006_02.h5,MOD06_L2.A2021264.1840.061.2021265073910.hdf
13231386,ATL04_20210917235154_13191201_006_02.h5,MOD06_L2.A2021264.2020.061.2021265074214.hdf
13232044,ATL04_20210921000913_13651201_006_02.h5,MOD06_L2.A2021263.2115.061.2021264082327.hdf
13232519,ATL04_20210919010032_13351201_006_02.h5,MOD06_L2.A2021263.1800.061.2021264082748.hdf
13233490,ATL04_20210919023449_13361201_006_02.h5,MOD06_L2.A2021266.0025.061.2021274182505.hdf
13233724,ATL04_20210918030029_13211201_006_02.h5,MOD06_L2.A2021262.0050.061.2021262135103.hdf
13234258,ATL04_20210917032608_13061201_006_02.h5,MOD06_L2.A2021265.0120.061.2021313235706.hdf
13234667,ATL04_20210920034327_13521201_006_02.h5,MOD06_L2.A2021261.0145.061.2021261140305.hdf
13234803,ATL04_20210923040047_00111301_006_02.h5,MOD06_L2.A2021264.0215.061.2021264134445.hdf
13235237,ATL04_20210917050025_13071201_006_02.h5,MOD06_L2.A2021265.0300.061.2021313235847.hdf
13235573,ATL04_20210920051745_13531201_006_02.h5,MOD06_L2.A2021261.0325.061.2021261140736.hdf
